TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,fold,threshold,d,half,model_size
1085936186,6119626,324616478,1159399409146,1.0,0.9997150831132604,0.9943962332943475,0.7698657510032536,0.8678434492763223,1,0.1,0,1e-05,10,True,8,0,0.58,128.0,False,base
1082127488,3673660,328425176,1159401855112,1.0,0.9997139091701855,0.9966166364745822,0.7671656050978894,0.8669664394511718,1,0.1,0,1e-05,10,True,8,0,0.6,128.0,False,base
1035483656,2759954,375069008,1159402768818,1.0,0.9996745143627468,0.9973417086573738,0.7340978344357655,0.8457082910442227,1,0.1,0,1e-05,10,True,8,0,0.62,128.0,False,base
1031900156,2183282,378652508,1159403345490,1.0,0.9996719240919467,0.9978886790758175,0.7315573408466512,0.844215754774941,1,0.1,0,1e-05,10,True,8,0,0.64,128.0,False,base
1026533684,1970798,384018980,1159403557974,1.0,0.9996674841224439,0.9980838216706964,0.7277528235556897,0.841746316344816,1,0.1,0,1e-05,10,True,8,0,0.66,128.0,False,base
1021226104,1713884,389326560,1159403814888,1.0,0.9996631331610119,0.9983245507848892,0.7239900572758764,0.8393089686633662,1,0.1,0,1e-05,10,True,8,0,0.68,128.0,False,base
985077918,1232654,425474746,1159404296118,1.0,0.9996324074012894,0.9987502374657705,0.6983630906814551,0.8219725708204737,1,0.1,0,1e-05,10,True,8,0,0.7000000000000001,128.0,False,base
853259712,674036,557292952,1159404854736,1.0,0.9995193321345878,0.9992106694441124,0.6049116305805651,0.753601088068706,1,0.1,0,1e-05,10,True,8,0,0.72,128.0,False,base
776916290,331520,633636374,1159405197252,1.0,0.9994538601729089,0.999573469367511,0.5507885737472897,0.7102259088366939,1,0.1,0,1e-05,10,True,8,0,0.74,128.0,False,base
672061524,264320,738491140,1159405264452,1.0,0.9993635895713245,0.9996068572964153,0.4764526282160848,0.6453199468127595,1,0.1,0,1e-05,10,True,8,0,0.76,128.0,False,base
649899018,199986,760653646,1159405328786,1.0,0.9993445528157581,0.9996923760861507,0.460740697307279,0.630770380159176,1,0.1,0,1e-05,10,True,8,0,0.78,128.0,False,base
621775976,92108,788776688,1159405436664,1.0,0.9993204187910422,0.9998518849859482,0.44080309219847746,0.6118575364986384,1,0.1,0,1e-05,10,True,8,0,0.8,128.0,False,base
589390934,87230,821161730,1159405441542,1.0,0.9992925244807221,0.9998520216602969,0.4178439763664152,0.5893818492681754,1,0.1,0,1e-05,10,True,8,0,0.8200000000000001,128.0,False,base
559368666,21684,851183998,1159405507088,1.0,0.9992667178758008,0.9999612363709885,0.3965599302147006,0.5679033982452043,1,0.1,0,1e-05,10,True,8,0,0.84,128.0,False,base
487526698,18140,923025966,1159405510632,1.0,0.9992048317379802,0.9999627931657027,0.3456281430978177,0.5137003736491931,1,0.1,0,1e-05,10,True,8,0,0.86,128.0,False,base
464556006,18140,945996658,1159405510632,1.0,0.9991850433387951,0.9999609534879282,0.32934325520511015,0.4954928952245102,1,0.1,0,1e-05,10,True,8,0,0.88,128.0,False,base
452094072,18140,958458592,1159405510632,1.0,0.9991743078448617,0.9999598772173842,0.32050846702736085,0.4854271724614836,1,0.1,0,1e-05,10,True,8,0,0.9,128.0,False,base
407554838,18040,1002997826,1159405510732,1.0,0.9991359390328577,0.9999557379772459,0.2889327342406834,0.44832419828575293,1,0.1,0,1e-05,10,True,8,0,0.92,128.0,False,base
384869040,18040,1025683624,1159405510732,1.0,0.9991163960592869,0.9999531291099717,0.2728498196647268,0.4287184142894856,1,0.1,0,1e-05,10,True,8,0,0.9400000000000001,128.0,False,base
354007712,0,1056544952,1159405528772,1.0,0.9990898257106389,1.0,0.25097092865438736,0.4012418240995343,1,0.1,0,1e-05,10,True,8,0,0.96,128.0,False,base
293304516,0,1117248148,1159405528772,1.0,0.9990375321587397,1.0,0.20793588462571574,0.3442829826852037,1,0.1,0,1e-05,10,True,8,0,0.98,128.0,False,base
0,0,1410552664,1159405528772,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,10,True,8,0,1.0,128.0,False,base
1273551760,1141836271952,137000904,17569256820,1.0,0.016232380720200137,0.0011141114646923585,0.902874307711775,0.002225476778373425,1,0.1,0,1e-05,10,True,8,0,0.0,128.0,True,base
1273551760,1141836271952,137000904,17569256820,1.0,0.016232380720200137,0.0011141114646923585,0.902874307711775,0.002225476778373425,1,0.1,0,1e-05,10,True,8,0,0.02,128.0,True,base
1273551760,1141836271952,137000904,17569256820,1.0,0.016232380720200137,0.0011141114646923585,0.902874307711775,0.002225476778373425,1,0.1,0,1e-05,10,True,8,0,0.04,128.0,True,base
1273551760,1141836271952,137000904,17569256820,1.0,0.016232380720200137,0.0011141114646923585,0.902874307711775,0.002225476778373425,1,0.1,0,1e-05,10,True,8,0,0.06,128.0,True,base
1273551760,1141476935384,137000904,17928593388,1.0,0.01654193584589712,0.001114461795752897,0.902874307711775,0.0022261757142398642,1,0.1,0,1e-05,10,True,8,0,0.08,128.0,True,base
1273551760,1141143301632,137000904,18262227140,1.0,0.016829348948916228,0.0011147872654527476,0.902874307711775,0.0022268250494037367,1,0.1,0,1e-05,10,True,8,0,0.1,128.0,True,base
1273551760,1140087136568,137000904,19318392204,1.0,0.01773919597885525,0.0011158188406380537,0.902874307711775,0.0022288831120644476,1,0.1,0,1e-05,10,True,8,0,0.12,128.0,True,base
1273551752,1132635020432,137000912,26770508340,1.0,0.024158917627422765,0.0011231520629101832,0.9028743020402392,0.0022435132538976776,1,0.1,0,1e-05,10,True,8,0,0.14,128.0,True,base
1273532966,1112125499114,137019698,47280029658,1.0,0.04182709337032641,0.0011438243875790382,0.9028609838561831,0.002284754245797857,1,0.1,0,1e-05,10,True,8,0,0.16,128.0,True,base
1273493988,1075970694466,137058676,83434834306,1.0,0.0729730830306991,0.0011821776359059748,0.9028333507156454,0.0023612634134997706,1,0.1,0,1e-05,10,True,8,0,0.18,128.0,True,base
