TP,FP,TN,FN,coverage,accuracy,precision,recall,F1,threshold,model
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.0,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.01,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.02,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.03,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.04,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.05,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.06,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.07,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.08,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.09,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.1,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.11,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.12,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.13,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.14,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.15,TFIDF-top1
