,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
26,1289680,269938,55380,1710931534,1.0,0.9998100384463013,0.8269204382098694,0.9588271155190103,0.8880020436000136,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.25,186.64024353027344
27,1289060,255116,56000,1710946356,1.0,0.9998183313596527,0.8347882624778523,0.9583661695389053,0.8923189382937219,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.30000000000000004,186.64024353027344
28,1274578,242164,70482,1710959308,1.0,0.9998174379532714,0.840339358968104,0.9475993635971629,0.8907520506310359,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.35000000000000003,186.64024353027344
29,1268624,28328,76436,1711173144,1.0,0.9999388256038347,0.9781580197262505,0.9431727952656387,0.9603468871450999,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.4,186.64024353027344
30,967944,28328,377116,1711173144,1.0,0.9997632508125041,0.9715659980406958,0.7196288641398897,0.826831905940721,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.45,186.64024353027344
31,964794,28304,380266,1711173168,1.0,0.9997614254606426,0.9714992880863721,0.7172869611764531,0.8252598840625825,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.5,186.64024353027344
32,905170,27514,439890,1711173958,1.0,0.9997270707736892,0.9705001908470607,0.672958827115519,0.7947952008654176,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.55,186.64024353027344
33,779104,27480,565956,1711173992,1.0,0.9996534774448979,0.965930392866707,0.5792336401350126,0.7241941510770369,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.6000000000000001,186.64024353027344
34,752144,27480,592916,1711173992,1.0,0.9996377348069629,0.9647522395411121,0.5591899246130284,0.7080055198796622,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.65,186.64024353027344
35,649022,152,696038,1711201320,1.0,0.9995934767394689,0.9997658563035489,0.48252271274143904,0.6508985404922392,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.7000000000000001,186.64024353027344
36,505692,0,839368,1711201472,1.0,0.9995098714199493,1.0,0.3759624105987837,0.5464719206030846,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.75,186.64024353027344
37,492516,0,852544,1711201472,1.0,0.9995021776144065,1.0,0.3661665650602947,0.5360496654288041,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.8,186.64024353027344
38,484198,0,860862,1711201472,1.0,0.999497320520106,1.0,0.3599824543143057,0.5293927920501099,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.8500000000000001,186.64024353027344
39,364378,0,980682,1711201472,1.0,0.999427354538008,1.0,0.2709009263527278,0.4263132093705651,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.9,186.64024353027344
40,234556,0,1110504,1711201472,1.0,0.9993515481306642,1.0,0.17438329888629503,0.2969785061685878,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,0.9500000000000001,186.64024353027344
41,0,0,1345060,1711201472,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,1,1.0,186.64024353027344
42,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.0,
43,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.05,
44,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.1,
45,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.15000000000000002,
46,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.2,
47,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.25,
48,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.30000000000000004,
49,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.35000000000000003,
50,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.4,
51,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.45,
52,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.5,
53,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.55,
54,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.6000000000000001,
55,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.65,
56,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.7000000000000001,
57,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.75,
58,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.8,
59,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.8500000000000001,
60,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.9,
61,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,0.9500000000000001,
62,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,2,1.0,
63,1005886,1488790726,165568,123160304,1.0,0.07697257414211331,0.0006751834390666476,0.8586645314284641,0.001349305894523431,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.0,97.99691009521484
64,994314,373730216,177140,1238220814,1.0,0.7682089489740197,0.0026534531913349787,0.8487862092749694,0.005290367773655171,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.05,97.99691009521484
65,990920,4371318,180534,1607579712,1.0,0.9971782353509121,0.18479597511337617,0.8458889550934138,0.30332620515322734,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.1,97.99691009521484
66,937170,599630,234284,1611351400,1.0,0.999483043595095,0.6098191046330036,0.8000058047520432,0.6920842727454662,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.15000000000000002,97.99691009521484
67,922626,394050,248828,1611556980,1.0,0.9996014698162251,0.7007236404400171,0.7875904644996731,0.741622021357405,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.2,97.99691009521484
68,920462,338172,250992,1611612858,1.0,0.9996347679696714,0.7313182386619145,0.7857431875259293,0.7575544589331745,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.25,97.99691009521484
69,899140,30124,272314,1611920906,1.0,0.9998125139268718,0.9675829473647962,0.7675418753105115,0.8560311284046692,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.30000000000000004,97.99691009521484
70,897184,8502,274270,1611942528,1.0,0.9998247051895905,0.9906126405840435,0.7658721554580888,0.8638647370904223,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.35000000000000003,97.99691009521484
71,893580,8502,277874,1611942528,1.0,0.9998224710133047,0.9905751361849588,0.7627956368751996,0.8618900274699838,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.4,97.99691009521484
72,885468,5582,285986,1611945448,1.0,0.9998192524108417,0.9937354806127602,0.7558709091436796,0.8586339711341165,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.45,97.99691009521484
73,883054,4988,288400,1611946042,1.0,0.9998181241642157,0.994383148544776,0.753810222168348,0.8575437874120659,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.5,97.99691009521484
74,871016,1868,300438,1611949162,1.0,0.999812595755748,0.9978599676474766,0.7435341037718938,0.8521252356508561,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.55,97.99691009521484
75,866834,108,304620,1611950922,1.0,0.9998110943198533,0.9998754241921605,0.7399641812653335,0.8505059860792505,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.6000000000000001,97.99691009521484
76,817458,108,353996,1611950922,1.0,0.9997804853608376,0.9998679005731648,0.6978148523117425,0.8219706186966446,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.65,97.99691009521484
77,785934,108,385520,1611950922,1.0,0.999760943137409,0.9998626027616845,0.670904704751531,0.8029993420165354,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.7000000000000001,97.99691009521484
78,709980,108,461474,1611950922,1.0,0.9997138580581585,0.9998479061750093,0.606067331709141,0.754678875092876,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.75,97.99691009521484
79,599296,12,572158,1611951018,1.0,0.9996453028175634,0.999979976906699,0.5115830412461778,0.676879219228784,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.8,97.99691009521484
80,573812,12,597642,1611951018,1.0,0.9996295048851356,0.9999790876645104,0.48982887932432684,0.657559426062782,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.8500000000000001,97.99691009521484
81,558818,0,612636,1611951030,1.0,0.9996202173076896,1.0,0.47702940106909875,0.645930813190065,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.9,97.99691009521484
82,386658,0,784796,1611951030,1.0,0.9995134926158528,1.0,0.33006673757569654,0.49631605430161635,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,0.9500000000000001,97.99691009521484
83,0,0,1171454,1611951030,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,3,1.0,97.99691009521484
