,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,seed,fold,threshold,half,alpha
27,1365275526,5426328,35140406,1036224582568,1.0,0.9999609044482223,0.9960412047418155,0.9749071649379093,0.9853608770421279,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.54,False,681.94091796875
28,1363426318,5309586,36989614,1036224699310,1.0,0.9999592348113665,0.9961208104613292,0.9735866943850222,0.9847248534912045,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.56,False,681.94091796875
29,1362669176,5225758,37746756,1036224783138,1.0,0.9999585859155902,0.9961797080535134,0.9730460392962739,0.9844769911761782,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.58,False,681.94091796875
30,1360054132,3814126,40361800,1036226194770,1.0,0.9999574261462049,0.9972034498364284,0.971178705499046,0.984019036045639,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.6,False,681.94091796875
31,1358741688,3683818,41674244,1036226325078,1.0,0.9999562868812298,0.9972961325343831,0.9702415239303347,0.9835828211579039,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.62,False,681.94091796875
32,1337719628,3613616,62696304,1036226395280,1.0,0.9999360948576551,0.9973059521068577,0.955230226558148,0.9758147387877615,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.64,False,681.94091796875
33,1335488438,3304004,64927494,1036226704892,1.0,0.9999342429670841,0.9975321013949973,0.9536369927559493,0.9750907967982139,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.66,False,681.94091796875
34,1292737222,3069636,107678710,1036226939260,1.0,0.9998932680236141,0.9976311006682448,0.9231094794485671,0.9589246310020249,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.68,False,681.94091796875
35,1288806548,3016844,111609384,1036226992052,1.0,0.9998895307758358,0.9976646621986545,0.9203026890442432,0.957423462699559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.7000000000000001,False,681.94091796875
36,1283552906,2872648,116863026,1036227136248,1.0,0.9998846066276248,0.9977669535628643,0.9165512021609877,0.9554362716878193,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.72,False,681.94091796875
37,1280264488,2824024,120151444,1036227184872,1.0,0.9998814843271193,0.9977990419416989,0.9142030297895811,0.9541735553019267,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.74,False,681.94091796875
38,1171629402,2629100,228786530,1036227379796,1.0,0.9997769768267557,0.9977610551718193,0.8366295864163305,0.9101184884022506,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.76,False,681.94091796875
39,1149302208,2583456,251113724,1036227425440,1.0,0.999755503333432,0.997757194068178,0.8206863273532081,0.9006006263532502,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.78,False,681.94091796875
40,1141364546,2574886,259051386,1036227434010,1.0,0.9997478617957416,0.9977491063530364,0.8150182527343598,0.8971738477644509,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.8,False,681.94091796875
41,1131904124,2487280,268511808,1036227521616,1.0,0.999738828891756,0.9978073881808082,0.8082628154504601,0.8930888812923966,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.8200000000000001,False,681.94091796875
42,1097085908,2393324,303330024,1036227615572,1.0,0.9997053639323937,0.9978232203662033,0.7834000477509563,0.8777055324548801,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.84,False,681.94091796875
43,1029970624,483164,370445308,1036229525732,1.0,0.9996425235198154,0.9995311153147995,0.7354747974975194,0.8474091519803866,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.86,False,681.94091796875
44,948066644,464784,452349288,1036229544112,1.0,0.9995636075608759,0.999509996204364,0.6769893303384669,0.8072268115876382,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.88,False,681.94091796875
45,929437576,221652,470978356,1036229787244,1.0,0.9995458884042667,0.9997615771528705,0.6636868052997843,0.7977747601927142,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.9,False,681.94091796875
46,905117518,202420,495298414,1036229806476,1.0,0.9995224688654613,0.9997764105356531,0.6463204947314182,0.7851007825974448,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.92,False,681.94091796875
47,667410984,179554,733004948,1036229829342,1.0,0.9992934049691907,0.9997310417242612,0.47658054207283895,0.6454631488652934,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.9400000000000001,False,681.94091796875
48,645404586,171226,755011346,1036229837670,1.0,0.9992722046752579,0.9997347701124837,0.460866354953751,0.6308965692483264,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.96,False,681.94091796875
49,600670274,169576,799745658,1036229839320,1.0,0.9992290942759002,0.9997177683870336,0.42892276521172856,0.600293355204907,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.98,False,681.94091796875
50,0,0,1400415932,1036230008896,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,10,True,8,0.0,1,0,1.0,False,681.94091796875
51,1400415932,1036230008896,0,0,1.0,0.0013496288259204968,0.0013496288259204968,1.0,0.0026956195659710437,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.0,True,682.0
52,1400415644,1035789770998,288,440237898,1.0,0.0017739008976197965,0.0013502014018605174,0.9999997943468126,0.0026967616316366967,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.02,True,682.0
53,1400415644,1023039914978,288,13190093918,1.0,0.01406137408164237,0.0013670055757661575,0.9999997943468126,0.0027302788443611162,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.04,True,682.0
54,1400415644,1014693831248,288,21536177648,1.0,0.022104780992521517,0.001378234005638307,0.9999997943468126,0.0027526741813332445,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.06,True,682.0
55,1400382172,997034455736,33760,39195553160,1.0,0.03912369410209736,0.001402577433029272,0.9999758928763743,0.002801225835199642,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.08,True,682.0
56,1400280932,941159514020,135000,95070494876,1.0,0.09297219269952615,0.001485614959920192,0.9999036000684403,0.002966821939854148,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.1,True,682.0
57,1400280932,941159514020,135000,95070494876,1.0,0.09297219269952615,0.001485614959920192,0.9999036000684403,0.002966821939854148,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.12,True,682.0
58,1399916724,683756235950,499208,352473772946,1.0,0.34104020198584567,0.0020432082796548803,0.9996435287627105,0.004078081218689444,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.14,True,682.0
59,1399916724,683756235950,499208,352473772946,1.0,0.34104020198584567,0.0020432082796548803,0.9996435287627105,0.004078081218689444,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.16,True,682.0
60,1399916724,683756235950,499208,352473772946,1.0,0.34104020198584567,0.0020432082796548803,0.9996435287627105,0.004078081218689444,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.18,True,682.0
61,1397359514,217932800660,3056418,818297208236,1.0,0.7899677458724039,0.006371032205016585,0.9978174926961628,0.012661222913937896,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.2,True,682.0
62,1397359514,217932800660,3056418,818297208236,1.0,0.7899677458724039,0.006371032205016585,0.9978174926961628,0.012661222913937896,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.22,True,682.0
63,1397359514,217932800660,3056418,818297208236,1.0,0.7899677458724039,0.006371032205016585,0.9978174926961628,0.012661222913937896,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.24,True,682.0
64,1397359514,217932800660,3056418,818297208236,1.0,0.7899677458724039,0.006371032205016585,0.9978174926961628,0.012661222913937896,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.26,True,682.0
65,1383007334,290081346,17408598,1035939927550,1.0,0.9997036614032873,0.826619264437316,0.9875689803277674,0.8999546176701817,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.28,True,682.0
66,1383007334,290081346,17408598,1035939927550,1.0,0.9997036614032873,0.826619264437316,0.9875689803277674,0.8999546176701817,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.3,True,682.0
67,1383007334,290081346,17408598,1035939927550,1.0,0.9997036614032873,0.826619264437316,0.9875689803277674,0.8999546176701817,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.32,True,682.0
68,1383007334,290081346,17408598,1035939927550,1.0,0.9997036614032873,0.826619264437316,0.9875689803277674,0.8999546176701817,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.34,True,682.0
69,1383007334,290081346,17408598,1035939927550,1.0,0.9997036614032873,0.826619264437316,0.9875689803277674,0.8999546176701817,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.36,True,682.0
70,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.38,True,682.0
71,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.4,True,682.0
72,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.42,True,682.0
73,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.44,True,682.0
74,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.46,True,682.0
75,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.48,True,682.0
76,1373270982,27212262,27144950,1036202796634,1.0,0.999947614091974,0.9805693769514318,0.9806165087244951,0.9805929422716214,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.5,True,682.0
77,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.52,True,682.0
78,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.54,True,682.0
79,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.56,True,682.0
80,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.58,True,682.0
81,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.6,True,682.0
82,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.62,True,682.0
83,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.64,True,682.0
84,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.66,True,682.0
85,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.68,True,682.0
86,1270748426,4478912,129667506,1036225529984,1.0,0.9998707184997758,0.9964877540917335,0.9074078614524074,0.9498638628310118,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.7000000000000001,True,682.0
87,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.72,True,682.0
88,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.74,True,682.0
89,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.76,True,682.0
90,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.78,True,682.0
91,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.8,True,682.0
92,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.8200000000000001,True,682.0
93,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.84,True,682.0
94,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.86,True,682.0
95,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.88,True,682.0
96,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.9,True,682.0
97,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.92,True,682.0
98,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.9400000000000001,True,682.0
99,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.96,True,682.0
100,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.98,True,682.0
101,1071459810,2857150,328956122,1036227151746,1.0,0.9996802201785332,0.9973404962349287,0.7651011285410027,0.8659195612291559,1,0.1,0,1e-05,10,True,8,0.0,1,0,1.0,True,682.0
102,1339597554,1176442561586,0,0,1.0,0.0011373899185042463,0.0011373899185042463,1.0,0.002272195464793965,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.0,False,650.4591674804688
103,1339597554,1176401304454,0,41257132,1.0,0.0011724194285709683,0.0011374297621115485,1.0,0.002272274971043331,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.02,False,650.4591674804688
104,1339597512,1171126964020,42,5315597566,1.0,0.005650616309946085,0.001142546453733929,0.9999999686473001,0.0022824850621726094,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.04,False,650.4591674804688
105,1339597498,1155483589418,56,20958972168,1.0,0.01893267739959833,0.0011579967562469612,0.9999999581964002,0.0023133147014614674,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.06,False,650.4591674804688
106,1339539498,1135174175416,58056,41268386170,1.0,0.03617640608439145,0.0011786390964066483,0.9999566616109243,0.0023545029632941763,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.08,False,650.4591674804688
107,1333801360,1081238413246,5796194,95204148340,1.0,0.08196587879246758,0.0012320668700013093,0.9956731826042137,0.002461088337697925,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.1,False,650.4591674804688
108,1333562132,1000418243034,6035422,176024318552,1.0,0.15058631964123503,0.0013312300762752464,0.9954946006119686,0.0026589045193367022,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.12,False,650.4591674804688
109,1328445730,874813880270,11151824,301628681316,1.0,0.25722679248870184,0.001516244211217345,0.9916752430857305,0.0030278589093197376,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.14,False,650.4591674804688
110,1324197444,706653563066,15400110,469788998520,1.0,0.4000002821472523,0.0018703941251574047,0.988503927949095,0.003733723498926473,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.16,False,650.4591674804688
111,1313201196,494621819792,26396358,681820741794,1.0,0.5800172278792326,0.0026479299513550085,0.9802953074069288,0.005281593497976155,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.18,False,650.4591674804688
112,1307844074,260931902056,31753480,915510659530,1.0,0.7784279091758768,0.004987207672751723,0.976296254121109,0.00992372206198334,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.2,False,650.4591674804688
113,1305417094,111683945694,34180460,1064758615892,1.0,0.9051453400893973,0.01155345124345317,0.9744845308966577,0.022836157874523078,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.22,False,650.4591674804688
